NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Cameron County, Pennsylvania",1692,266,226,633,4,42,23,2813.0
"Bucks County, Pennsylvania",283050,47979,10727,29151,3849,42,17,137.0
"Lehigh County, Pennsylvania",143978,19813,8663,34397,1409,42,77,21496.0
"Clarion County, Pennsylvania",14577,3858,1209,3956,322,42,31,20301.0
"Greene County, Pennsylvania",13379,1979,1224,3937,139,42,59,1997.0
"Luzerne County, Pennsylvania",123045,18895,9027,32282,1526,42,79,1330.0
"Columbia County, Pennsylvania",28725,3622,1571,5470,327,42,37,13581.0
"Jefferson County, Pennsylvania",15503,2565,1477,4999,338,42,65,2392.0
"Perry County, Pennsylvania",19082,2494,1153,3364,337,42,99,2243.0
"Sullivan County, Pennsylvania",2173,438,169,578,65,42,113,2724.0
"Kent County, Rhode Island",75142,9288,4729,15006,987,44,3,399.0
"Washington County, Rhode Island",55081,11531,2066,8203,1652,44,9,4695.0
"Newberry County, South Carolina",13406,2672,968,3027,427,45,71,3050.0
"Clarendon County, South Carolina",8529,2215,2056,3965,506,45,27,3033.0
"Sumter County, South Carolina",29309,6372,3862,9620,7126,45,85,3355.0
"Barnwell County, South Carolina",6106,1300,954,2403,465,45,11,10531.0
"Darlington County, South Carolina",21898,3941,2697,6377,521,45,31,2188.0
"York County, South Carolina",110729,17523,5234,12648,3430,45,91,6206.0
"Cherokee County, South Carolina",18508,4205,2312,5795,553,45,21,19345.0
"Jasper County, South Carolina",7849,2048,1039,2220,562,45,53,5451.0
"Lee County, South Carolina",4711,932,904,1939,216,45,61,4061.0
"Abbeville County, South Carolina",7370,1971,1111,2360,281,45,1,1641.0
"Lyman County, South Dakota",1138,222,60,255,24,46,85,2387.0
"Deuel County, South Dakota",1608,318,104,118,25,46,39,436.0
"Glenn County, California",7838,1599,1023,4585,57,6,21,306.0
"Butte County, California",69567,17953,6674,39318,1172,6,7,1940.0
"Kings County, California",37544,4694,5509,19489,6311,6,31,12032.0
"Plumas County, California",6211,1374,532,2702,148,6,63,8429.0
"San Luis Obispo County, California",105426,25411,4274,24668,2183,6,79,475.0
"Fresno County, California",272601,54136,17877,181125,4862,6,19,14337.0
"Kern County, California",245881,38591,17045,161189,6751,6,29,71257.0
"Orange County, California",1206371,280237,37002,304140,11441,6,59,58520.0
"Ventura County, California",303805,62256,12180,77328,9192,6,111,209309.0
"Calaveras County, California",13349,3194,1847,5838,422,6,9,65661.0
"Sutter County, California",26433,5206,2138,16826,1964,6,101,1905.0
"San Mateo County, California",345155,63797,8042,54728,1769,6,81,6331.0
"Tuolumne County, California",15660,3643,2024,6152,127,6,109,28007.0
"San Joaquin County, California",239068,41059,14088,118705,3344,6,77,2164.0
"Amador County, California",11073,2333,1026,3946,243,6,5,40621.0
"Phillips County, Colorado",1141,442,54,395,34,8,95,1414.0
"Archuleta County, Colorado",2888,1677,227,1341,172,8,7,446.0
"Denver County, Colorado",288087,58046,12424,73685,4322,8,31,1215.0
"Kiowa County, Colorado",406,159,18,120,17,8,61,57994.0
"Huerfano County, Colorado",1573,585,332,768,33,8,55,82.0
"Baca County, Colorado",860,286,114,501,11,8,9,494.0
"Gilpin County, Colorado",2667,767,169,439,60,8,47,200.0
"Kit Carson County, Colorado",2208,661,103,548,29,8,63,319.0
"Gunnison County, Colorado",6284,2253,150,1302,199,8,51,461.0
"Mineral County, Colorado",253,105,18,79,9,8,79,1496.0
"Ouray County, Colorado",1418,495,62,371,112,8,91,71.0
"Sedgwick County, Colorado",558,119,80,268,3,8,115,365.0
"Weld County, Colorado",119162,20626,5876,26942,2511,8,123,186.0
"Custer County, Colorado",708,507,117,476,166,8,27,19626.0
"Costilla County, Colorado",552,207,247,821,38,8,23,525.0
"Douglas County, Colorado",163019,24705,2609,10763,4312,8,35,390.0
"Lake County, Colorado",2835,700,148,1023,0,8,65,7430.0
"La Plata County, Colorado",20286,6284,1264,4625,363,8,67,893.0
"Pitkin County, Colorado",6577,2909,21,806,135,8,97,3770.0
"Rio Grande County, Colorado",2920,480,362,1853,30,8,105,1584.0
"Bent County, Colorado",804,159,178,890,60,8,11,810.0
"Crowley County, Colorado",1077,165,176,1479,73,8,25,303.0
"San Juan County, Colorado",130,92,27,82,2,8,111,242.0
